timestamp_ms,center_x,center_y,right_x,right_y,left_x,left_y
1753944266347,898,662,898,712,898,612
1753944267010,920,649,945,692,895,606
1753944267647,944,632,972,672,916,592
1753944268284,972,605,1006,640,938,570
1753944268955,982,610,960,654,1004,566
1753944269572,964,611,962,562,966,660
1753944270190,950,594,988,563,912,625
1753944270816,954,603,909,623,999,583
1753944271426,958,616,911,630,1005,602
1753944272041,952,609,989,577,915,641
1753944272662,932,676,885,662,979,690
1753944273292,924,685,887,652,961,718
1753944273935,914,676,947,639,881,713
1753944274565,932,643,975,666,889,620
1753944275195,966,626,988,670,944,582
1753944276893,964,635,916,625,1012,645
1753944277529,962,642,914,629,1010,655
1753944278172,966,639,996,679,936,599
1753944279260,983,671,939,694,1027,648
1753944279852,983,671,983,721,983,621
